epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,538.753,1.38652,1.59404,1.60219,0.97423,0.85714,0.953,0.50356,1.61744,2.47818,1.96175,0.00172003,0.00172003,0.00172003
44,549.692,1.29795,1.33108,1.49717,0.97423,0.85714,0.953,0.50356,1.61744,2.47818,1.96175,0.00171336,0.00171336,0.00171336
45,561.312,1.38515,1.47209,1.55273,0.99819,1,0.995,0.43618,1.92674,2.06144,2.339,0.0017067,0.0017067,0.0017067
46,572.153,1.20171,1.35027,1.40953,0.99819,1,0.995,0.43618,1.92674,2.06144,2.339,0.00170003,0.00170003,0.00170003
47,584.162,1.40417,1.46499,1.42393,0.98891,1,0.995,0.47237,1.77142,1.96056,2.08326,0.00169336,0.00169336,0.00169336
48,594.976,1.49095,1.64687,1.61838,0.98891,1,0.995,0.47237,1.77142,1.96056,2.08326,0.0016867,0.0016867,0.0016867
49,607.001,1.29552,1.59191,1.44566,0.97584,0.85714,0.9775,0.60052,1.40498,1.91739,1.71177,0.00168003,0.00168003,0.00168003
50,618.232,1.23197,1.25272,1.43108,0.97584,0.85714,0.9775,0.60052,1.40498,1.91739,1.71177,0.00167337,0.00167337,0.00167337
51,630.122,1.37919,1.4263,1.56564,0.98175,0.85714,0.96389,0.61945,1.33187,1.68443,1.70369,0.0016667,0.0016667,0.0016667
52,640.264,1.39672,1.25608,1.52746,0.98175,0.85714,0.96389,0.61945,1.33187,1.68443,1.70369,0.00166003,0.00166003,0.00166003
53,650.43,1.36661,1.43267,1.57939,0.9804,1,0.995,0.56398,1.53332,1.58557,1.8153,0.00165337,0.00165337,0.00165337
54,661.779,1.24351,1.2387,1.38006,0.9804,1,0.995,0.56398,1.53332,1.58557,1.8153,0.0016467,0.0016467,0.0016467
55,671.913,1.30118,1.3288,1.4878,0.98677,1,0.995,0.60027,1.6277,1.48863,1.75043,0.00164004,0.00164004,0.00164004
56,683.79,1.2846,1.30402,1.43607,0.98677,1,0.995,0.60027,1.6277,1.48863,1.75043,0.00163337,0.00163337,0.00163337
57,693.882,1.2965,1.25235,1.39858,1,0.98288,0.995,0.52261,1.75028,1.48513,1.87076,0.0016267,0.0016267,0.0016267
58,705.217,1.26425,1.33748,1.47095,1,0.98288,0.995,0.52261,1.75028,1.48513,1.87076,0.00162004,0.00162004,0.00162004
59,715.871,1.42757,1.36424,1.52933,0.96842,1,0.995,0.60373,1.5245,1.59618,1.65249,0.00161337,0.00161337,0.00161337
60,725.992,1.4432,1.43516,1.52592,0.96842,1,0.995,0.60373,1.5245,1.59618,1.65249,0.00160671,0.00160671,0.00160671
61,738.773,1.22203,1.36886,1.47331,0.97994,1,0.995,0.5879,1.56083,1.55249,1.71323,0.00160004,0.00160004,0.00160004
62,749.511,1.3803,1.44112,1.49762,0.97994,1,0.995,0.5879,1.56083,1.55249,1.71323,0.00159337,0.00159337,0.00159337
63,761.03,1.2211,1.25053,1.32754,0.98355,1,0.995,0.5693,1.66254,1.52767,1.85572,0.00158671,0.00158671,0.00158671
64,773.214,1.17986,1.2523,1.36611,0.98355,1,0.995,0.5693,1.66254,1.52767,1.85572,0.00158004,0.00158004,0.00158004
65,783.574,1.28082,1.54972,1.4313,1,0.98447,0.995,0.56494,1.65861,1.52513,1.87842,0.00157338,0.00157338,0.00157338
66,794.309,1.27513,1.23626,1.43244,1,0.98447,0.995,0.56494,1.65861,1.52513,1.87842,0.00156671,0.00156671,0.00156671
67,804.981,1.26172,1.30117,1.45625,1,0.98495,0.995,0.53125,1.72675,1.48336,1.99132,0.00156004,0.00156004,0.00156004
68,815.162,1.32222,1.30157,1.35981,1,0.98495,0.995,0.53125,1.72675,1.48336,1.99132,0.00155338,0.00155338,0.00155338
69,828.123,1.24734,1.21715,1.40318,0.98843,1,0.995,0.49709,1.731,1.44651,1.98157,0.00154671,0.00154671,0.00154671
70,838.212,1.23691,1.14396,1.39074,0.98843,1,0.995,0.49709,1.731,1.44651,1.98157,0.00154005,0.00154005,0.00154005
71,848.189,1.31954,1.23529,1.39259,0.99813,1,0.995,0.50375,1.7675,1.42727,2.00938,0.00153338,0.00153338,0.00153338
72,858.327,1.35223,1.17887,1.47919,0.99813,1,0.995,0.50375,1.7675,1.42727,2.00938,0.00152671,0.00152671,0.00152671
73,868.647,1.27814,1.17998,1.44837,0.97762,1,0.995,0.52041,1.65848,1.49118,1.85986,0.00152005,0.00152005,0.00152005
74,878.722,1.1311,1.07637,1.38162,0.97762,1,0.995,0.52041,1.65848,1.49118,1.85986,0.00151338,0.00151338,0.00151338
75,888.72,1.27388,1.30928,1.51756,0.97322,1,0.995,0.52282,1.60804,1.48626,1.76805,0.00150672,0.00150672,0.00150672
76,899.237,1.25171,1.19018,1.38261,0.97322,1,0.995,0.52282,1.60804,1.48626,1.76805,0.00150005,0.00150005,0.00150005
77,909.609,1.28364,1.10711,1.46008,0.97678,1,0.995,0.57691,1.48305,1.39654,1.6807,0.00149338,0.00149338,0.00149338
78,919.731,1.19436,1.16407,1.3912,0.97678,1,0.995,0.57691,1.48305,1.39654,1.6807,0.00148672,0.00148672,0.00148672
79,930.45,1.18335,1.06136,1.36379,0.99509,1,0.995,0.57461,1.48004,1.37063,1.68721,0.00148005,0.00148005,0.00148005
80,940.622,1.21571,1.16632,1.43215,0.99509,1,0.995,0.57461,1.48004,1.37063,1.68721,0.00147339,0.00147339,0.00147339
81,950.518,1.30328,1.14995,1.40229,0.99744,1,0.995,0.5459,1.57578,1.39017,1.67664,0.00146672,0.00146672,0.00146672
82,960.649,1.26749,1.24151,1.38572,0.99744,1,0.995,0.5459,1.57578,1.39017,1.67664,0.00146005,0.00146005,0.00146005
83,970.513,1.38799,1.21923,1.5427,0.98959,1,0.995,0.45461,1.86752,1.43262,1.92226,0.00145339,0.00145339,0.00145339
84,980.202,1.23235,1.26073,1.36887,0.98959,1,0.995,0.45461,1.86752,1.43262,1.92226,0.00144672,0.00144672,0.00144672
85,990.137,1.25487,1.23396,1.34075,0.99208,1,0.995,0.4756,1.78208,1.37126,1.86917,0.00144006,0.00144006,0.00144006
86,999.912,1.27358,1.14916,1.45039,0.99208,1,0.995,0.4756,1.78208,1.37126,1.86917,0.00143339,0.00143339,0.00143339
87,1010.18,1.09565,1.0379,1.30438,0.98803,1,0.995,0.59444,1.58979,1.28183,1.70813,0.00142672,0.00142672,0.00142672
88,1020.77,1.25628,1.11446,1.38167,0.98803,1,0.995,0.59444,1.58979,1.28183,1.70813,0.00142006,0.00142006,0.00142006
89,1031.13,1.27742,1.08983,1.37163,0.97967,1,0.995,0.66427,1.32009,1.2153,1.50671,0.00141339,0.00141339,0.00141339
90,1040.96,1.20626,1.08566,1.38807,0.97967,1,0.995,0.66427,1.32009,1.2153,1.50671,0.00140673,0.00140673,0.00140673
91,1051.32,1.238,1.15468,1.44464,0.97317,1,0.995,0.67908,1.33513,1.30066,1.52066,0.00140006,0.00140006,0.00140006
92,1061.48,1.28048,1.22533,1.50015,0.97317,1,0.995,0.67908,1.33513,1.30066,1.52066,0.00139339,0.00139339,0.00139339
93,1071.28,1.29732,1.13097,1.42875,0.96934,1,0.995,0.63823,1.44202,1.21958,1.61039,0.00138673,0.00138673,0.00138673
94,1081.84,1.21841,1.1859,1.38976,0.96934,1,0.995,0.63823,1.44202,1.21958,1.61039,0.00138006,0.00138006,0.00138006
95,1092.2,1.27583,1.10106,1.41935,0.98833,1,0.995,0.58665,1.61974,1.25334,1.82015,0.0013734,0.0013734,0.0013734
96,1102.33,1.03795,1.02795,1.24022,0.98833,1,0.995,0.58665,1.61974,1.25334,1.82015,0.00136673,0.00136673,0.00136673
97,1113.12,1.12811,1.00516,1.27894,1,0.96603,0.995,0.57932,1.69919,1.24852,1.88332,0.00136006,0.00136006,0.00136006
98,1123.89,1.25295,1.21331,1.44449,1,0.96603,0.995,0.57932,1.69919,1.24852,1.88332,0.0013534,0.0013534,0.0013534
99,1134.68,1.17094,1.04276,1.28888,1,0.97774,0.995,0.55776,1.6351,1.28811,1.82962,0.00134673,0.00134673,0.00134673
100,1145.93,1.21075,1.05032,1.43348,1,0.97774,0.995,0.55776,1.6351,1.28811,1.82962,0.00134007,0.00134007,0.00134007
101,1156.54,1.21282,1.0125,1.40983,0.85124,1,0.96,0.53462,1.50158,1.32755,1.71944,0.0013334,0.0013334,0.0013334
102,1167.58,1.15645,0.98292,1.3215,0.85124,1,0.96,0.53462,1.50158,1.32755,1.71944,0.00132673,0.00132673,0.00132673
